Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C9H13O4N4P,CHONP,242.1015033,9,13,4,4,1,0,0.44,1.44,0.44,0.11,4.00,77044.84704,54503.52529,54581.68874,17351.0908,25998.54629,5468.337123
C15H12O6,CHO,288.06339,15,12,6,0,0,0,0.40,0.80,0.00,0.00,0.00,903959.5075,1667591.275,2321389.566,2516568.151,3021636.032,1606499.386
C12H18O4,CHO,226.1205,12,18,4,0,0,0,0.33,1.50,0.00,0.00,0.00,145765.3325,684324.4232,571036.7689,743988.1657,657926.9648,63449.81521
C15H26O3,CHO,254.1882,15,26,3,0,0,0,0.20,1.73,0.00,0.00,0.00,16293425.41,6334466.014,14553192.74,561599.8109,3667156.03,449590.1524
C32H54O5,CHO,518.3971,32,54,5,0,0,0,0.16,1.69,0.00,0.00,0.00,1714274.984,1830326.649,1151064.371,348068.1536,274882.0466,310368.7906
C19H29O6N3,CHON,395.2056333,19,29,6,3,0,0,0.32,1.53,0.16,0.00,0.00,3104258.664,7558804.207,2220258.739,7805813.074,7363097.064,4210487.406
C50H82O11N10,CHON,998.6164233,50,82,11,10,0,0,0.22,1.64,0.20,0.00,0.00,5724316.842,6353926.205,2238660.294,2812588.38,1298617.952,6015335.361
C21H41O5N8P,CHONP,486.3278033,21,41,5,8,1,0,0.24,1.95,0.38,0.05,8.00,12777785.23,3115986.855,19628914.95,2833225.687,14838180.98,1895998.747
C21H32O5N4S2,CHONS,484.1814133,21,32,5,4,0,2,0.24,1.52,0.19,0.00,0.00,1683863.052,10406840.98,9990358.381,3317602.455,3373632.432,3986715.359
C4H4O6,CHO,148.0008,4,4,6,0,0,0,1.50,1.00,0.00,0.00,0.00,1169686.874,2943692.885,1072511.95,7547055.334,7855166.993,
C7H14O3N2,CHON,174.1004333,7,14,3,2,0,0,0.43,2.00,0.29,0.00,0.00,1076154.606,1165389.192,755338.272,826103.1477,1560804.101,1081240.789
C21H41O5N5S,CHONS,475.2828333,21,41,5,5,0,1,0.24,1.95,0.24,0.00,0.00,870351.9431,658096.6818,658096.6818,31455.29815,44080.06195,5421.454644
C31H39O5N7,CHON,589.3012533,31,39,5,7,0,0,0.16,1.26,0.23,0.00,0.00,762044.4741,960684.1801,1801542.698,199766.6273,602845.9897,149480.6645
C27H42O,CHO,382.3236,27,42,1,0,0,0,0.04,1.56,0.00,0.00,0.00,3365.701946,42863.06412,6366.499026,114618.8473,17099.75981,191198.033
C17H31O7N9S,CHONS,505.2067233,17,31,7,9,0,1,0.41,1.82,0.53,0.00,0.00,3299556.761,2982498.476,604616.8723,6270467.884,13089137.85,2735668.219
C28H41O7N7,CHON,587.3067333,28,41,7,7,0,0,0.25,1.46,0.25,0.00,0.00,2228233.645,684126.7182,1791611.587,1805053.898,82871.80332,220737.7104
C6H10O7,CHO,194.0427,6,10,7,0,0,0,1.17,1.67,0.00,0.00,0.00,2756302.785,8416171.337,4206454.606,20592033.49,12087481.65,7202303.069
C15H18O8,CHO,326.10017,15,18,8,0,0,0,0.53,1.20,0.00,0.00,0.00,123976.818,586998.8234,845577.5786,940680.6442,668858.0708,457870.8733
C31H59O7N7S,CHONS,673.4196533,31,59,7,7,0,1,0.23,1.90,0.23,0.00,0.00,1459573.457,2149618.709,1183458.591,36670.76737,91179.32384,
C23H28O8N4,CHON,488.1907133,23,28,8,4,0,0,0.35,1.22,0.17,0.00,0.00,17807.15598,17807.15598,23884.67542,477865.4544,719118.7148,129659.0629
C13H21O9N4P,CHONP,378.1386733,13,21,9,4,1,0,0.69,1.62,0.31,0.08,4.00,581886.4313,1464743.869,637069.5349,345936.1945,522352.8678,831424.6882
C20H34O11N8,CHON,562.2346933,20,34,11,8,0,0,0.55,1.70,0.40,0.00,0.00,410515.01,354709.0973,606655.8621,572619.9912,272270.4564,418627.9826
C21H33O6N11,CHON,535.2615233,21,33,6,11,0,0,0.29,1.57,0.52,0.00,0.00,1957889.485,591031.5035,1254153.59,554564.2069,168589.271,424847.711
C19H26O5N4,CHON,390.1903033,19,26,5,4,0,0,0.26,1.37,0.21,0.00,0.00,1123079.072,1235298.665,1346523.447,4091165.66,1537886.112,1364799.234
C32H60O2,CHO,476.4593,32,60,2,0,0,0,0.06,1.88,0.00,0.00,0.00,1983560.421,9606913.494,4221840.058,3557482.849,2084731.948,2892.860831
C35H49O3N3,CHON,559.3774,35,49,3,3,0,0,0.09,1.40,0.09,0.00,0.00,195673.4537,16666.6344,204722.9047,795402.6054,1104719.226,109400.2517
C26H26O8,CHO,466.1628,26,26,8,0,0,0,0.31,1.00,0.00,0.00,0.00,1725114.814,1354050.474,1467587.143,1242784.617,1576056.512,1033544.241
