Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C23H32O12N6,CHON,584.2078233,23,32,12,6,0,0,0.52,1.39,0.26,0.00,0.00,246909.5424,160661.3191,11193.0726,20585.59533,15268.03287,45522.90304
C23H33O6,CHO,484.1461,23,33,6,0,0,0,0.26,1.43,0.00,0.00,0.00,2227725.243,2663514.3,2009923.579,2855436.967,1946484.222,1552923.521
C26H45O9P,CHOP,532.2801,26,45,9,0,1,0,0.35,1.73,0.00,0.04,0.00,143425.0375,43263.49385,85901.79246,57147.01977,88828.88099,88828.88099
C14H24O8N6S,CHONS,436.1376433,14,24,8,6,0,1,0.57,1.71,0.43,0.00,0.00,556221.7878,409830.019,409830.019,211400.7529,183858.3683,
C20H35O9N7,CHON,517.2496133,20,35,9,7,0,0,0.45,1.75,0.35,0.00,0.00,141637.8147,35342.95639,135112.4017,126133.5204,41497.84635,230054.8241
C19H36O4,CHO,328.2614,19,36,4,0,0,0,0.21,1.89,0.00,0.00,0.00,15195.42596,22885.49198,6987.060028,2317.630965,523.6212079,12821.18867
C30H62O2,CHO,454.475,30,62,2,0,0,0,0.07,2.07,0.00,0.00,0.00,62.29411993,734.7461194,4860.9963,127816.5033,116951.4938,107491.1361
C20H18O8,CHO,386.1002,20,18,8,0,0,0,0.40,0.90,0.00,0.00,0.00,4392963.623,5943623.94,2865689.741,6136142.802,2022446.118,6213593.995
C21H29O9N8P,CHONP,538.2135533,21,29,9,8,1,0,0.43,1.38,0.38,0.05,8.00,439533.5434,431459.2856,275503.3685,86108.43969,60638.79264,21079.43302
C27H31O15,CHO,595.1663,27,31,15,0,0,0,0.56,1.15,0.00,0.00,0.00,169304.306,265337.2995,394131.3912,649046.9955,230852.2431,618861.9381
C8H14O4,CHO,174.0892,8,14,4,0,0,0,0.50,1.75,0.00,0.00,0.00,661045.6903,891661.5761,885801.0368,773116.4402,212254.8407,
C25H39O7N5S,CHONS,553.2570133,25,39,7,5,0,1,0.28,1.56,0.20,0.00,0.00,164236.0457,92533.10398,3534.471574,3790.772096,6509.051379,18222.32743
C18H20O2,CHO,268.1463,18,20,2,0,0,0,0.11,1.11,0.00,0.00,0.00,4721004.998,4427825.319,515078.7269,2658588.604,1181079.356,2447618.53
C26H29O7N5,CHON,523.2066833,26,29,7,5,0,0,0.27,1.12,0.19,0.00,0.00,3057400.009,4336539.597,821831.007,4182095.7,1494921.023,736755.5915
C46H78O10NP,CHONP,835.5363,46,78,10,1,1,0,0.22,1.70,0.02,0.02,1.00,7859098.421,4554015.493,7652671.169,2202441.09,3338192.644,2869246.999
C24H31O10N5,CHON,549.2070833,24,31,10,5,0,0,0.42,1.29,0.21,0.00,0.00,586426.1635,1842509.134,217724.4967,4116331.821,7125359.06,1413730.124
C12H20O9N4,CHON,364.1230233,12,20,9,4,0,0,0.75,1.67,0.33,0.00,0.00,3753.684881,8083.698754,9842.263112,4464.733625,9030.260525,9030.260525
C6H14O5,CHO,166.0841,6,14,5,0,0,0,0.83,2.33,0.00,0.00,0.00,15152892.19,14624355.92,10289375.4,3946240.041,9727735.757,5228013.776
C11H18O8,CHO,278.1002,11,18,8,0,0,0,0.73,1.64,0.00,0.00,0.00,6421931.213,5679150.948,6833743.824,4935538.405,8595571.583,4085258.456
C14H12O,CHO,196.0888,14,12,1,0,0,0,0.07,0.86,0.00,0.00,0.00,1700636.678,1396969.816,960156.19,2094713.675,1063164.143,
C24H43O9N5,CHON,545.3060633,24,43,9,5,0,0,0.38,1.79,0.21,0.00,0.00,356135.533,109321.2867,329868.4587,118415.7442,681058.4822,114669.0014
C12H24O3N3P,CHONP,259.1895833,12,24,3,3,1,0,0.25,2.00,0.25,0.08,3.00,869296.1652,489945.6595,1016467.686,123857.6454,72934.88014,60254.42998
C20H37O9N5S,CHONS,523.2312033,20,37,9,5,0,1,0.45,1.85,0.25,0.00,0.00,,2059.412276,3951.087194,7538.475215,17574.22615,6072.213173
C6H12O5,CHO,164.0685,6,12,5,0,0,0,0.83,2.00,0.00,0.00,0.00,4865579.462,1748107.213,5063892.493,6867424.704,3898201.331,1528493.509
C32H62O4,CHO,510.4648,32,62,4,0,0,0,0.13,1.94,0.00,0.00,0.00,6660323.514,11250139.35,9764793.199,39011743.98,41437965.76,911.4778758
C24H40O10S2,CHOS,552.2063,24,40,10,0,0,2,0.42,1.67,0.00,0.00,0.00,80422.32726,133725.9172,114117.6012,50870.07552,82901.28244,125703.0228
C28H39O6N9,CHON,597.3023233,28,39,6,9,0,0,0.21,1.39,0.32,0.00,0.00,7003718.382,6112891.809,3440950.1,1874901.836,2169526.056,2845882.104
C19H10O6,CHO,334.0477,19,10,6,0,0,0,0.32,0.53,0.00,0.00,0.00,1606310.728,1654870.318,1261795.437,798931.0019,2149092.137,176939.3017
C14H27O5N7S2,CHONS,437.1515133,14,27,5,7,0,2,0.36,1.93,0.50,0.00,0.00,40889.64983,835.1186384,15278.41724,12472.57516,20380.30942,18222.6788
C11H19O7N3S,CHONS,337.0943733,11,19,7,3,0,1,0.64,1.73,0.27,0.00,0.00,48713885.6,43743243.69,14451462.32,10742610.49,12967852.37,12049333.59
C19H31O10N8PS,CHONPS,564.1962233,19,31,10,8,1,1,0.53,1.63,0.42,0.05,8.00,4009849.143,5329592.285,4849156.961,17452237.85,19158756.45,1536478.037
C20H29O12N5,CHON,531.1812533,20,29,12,5,0,0,0.60,1.45,0.25,0.00,0.00,88094.09783,112487.8986,88094.09783,121902.382,29273.02962,121902.382
C25H33O8N5,CHON,531.2329033,25,33,8,5,0,0,0.32,1.32,0.20,0.00,0.00,9194876.508,17669269.39,13589369.07,6239729.697,6600803.49,4758784.35
C19H36O6N5PS,CHONPS,463.2464533,19,36,6,5,1,1,0.32,1.89,0.26,0.05,5.00,3278.101476,2003.617668,2822.546882,13408.4155,8638.117695,73.68483415
C30H42O6N4,CHON,554.3104233,30,42,6,4,0,0,0.20,1.40,0.13,0.00,0.00,375106.0325,163660.7851,224916.951,68588.52846,449782.8562,408220.7058
C22H41O7N6P,CHONP,502.3114833,22,41,7,6,1,0,0.32,1.86,0.27,0.05,6.00,783930.4151,610777.5141,1123153.621,1940463.999,1860060.227,221691.3622
C27H30O15,CHO,594.1585,27,30,15,0,0,0,0.56,1.11,0.00,0.00,0.00,5552149.841,885382.4387,3755314.51,3521318.52,3141862.315,3738169.56
C20H38O5N10,CHON,498.3026533,20,38,5,10,0,0,0.25,1.90,0.50,0.00,0.00,657249.4081,1030501.215,1115657.863,1692046.246,748930.2152,266110.9448
C24H40O8N8,CHON,568.2968933,24,40,8,8,0,0,0.33,1.67,0.33,0.00,0.00,106406.0807,151992.4803,270585.6861,19778.28699,18387.84888,26520.69729
C18H31O5N7,CHON,425.2386533,18,31,5,7,0,0,0.28,1.72,0.39,0.00,0.00,151907.5466,1794791.567,1238202.637,2146465.215,1929144.946,3697092.85
C23H41O6N5S,CHONS,515.2777433,23,41,6,5,0,1,0.26,1.78,0.22,0.00,0.00,656502.1073,781611.4735,956409.5353,733372.565,311798.6,390264.8484
C24H26O13N2,CHON,550.143493,24,26,13,2,0,0,0.54,1.08,0.08,0.00,0.00,701272.0045,441320.4191,493415.9553,615511.3674,311387.5386,277079.5422
C13H23O8N4P,CHONP,364.1594133,13,23,8,4,1,0,0.62,1.77,0.31,0.08,4.00,2041957.528,9665128.464,7046797.402,1371070.797,3714338.519,1108161.315
C16H10O7,CHO,314.042655,16,10,7,0,0,0,0.44,0.63,0.00,0.00,0.00,332457.542,1064089.7,565095.1083,1086084.745,562502.8784,697918.0749
C16H18O9,CHO,354.095085,16,18,9,0,0,0,0.56,1.13,0.00,0.00,0.00,5733.651333,40896.37174,48017.4406,3081190.572,2013364.502,460308.0074
C15H28O6N4,CHON,360.2008833,15,28,6,4,0,0,0.40,1.87,0.27,0.00,0.00,739788.3017,866151.7482,627884.7222,790342.4863,514299.1074,374005.4644
C22H41O9N9,CHON,575.3027233,22,41,9,9,0,0,0.41,1.86,0.41,0.00,0.00,996246.604,996246.604,482042.4762,82707.93263,25715.70041,53615.34117
C38H71O3N,CHON,589.5434,38,71,3,1,0,0,0.08,1.87,0.03,0.00,0.00,1683502.93,386430.9785,309623.9702,178422.3138,82198.78542,5023.393887
C40H48O11N6P2,CHONP,790.3537433,40,48,11,6,2,0,0.28,1.20,0.15,0.05,3.00,2053691.331,2865739.476,3050253.617,1828619.265,3760676.367,134307.1544
C35H60O4,CHO,544.4492,35,60,4,0,0,0,0.11,1.71,0.00,0.00,0.00,98270.57364,304604.7207,139951.1014,457086.1847,327720.2186,183.7529199
C27H48O6,CHO,468.3451,27,48,6,0,0,0,0.22,1.78,0.00,0.00,0.00,695446.7251,593178.0729,1145024.89,878779.6926,1243574.83,646427.1513
C27H40O8N6P2,CHONP,578.3063933,27,40,8,6,2,0,0.30,1.48,0.22,0.07,3.00,415974.8847,1480000.061,645909.4331,992697.3913,1049267.645,1244352.836
C31H52O4,CHO,488.3866,31,52,4,0,0,0,0.13,1.68,0.00,0.00,0.00,544115.3791,504950.6577,391424.0875,1727808.422,218247.4296,2100966.645
C13H25O5N7,CHON,359.1917133,13,25,5,7,0,0,0.38,1.92,0.54,0.00,0.00,119575.355,155827.8777,20372.89482,20589.07842,28715.45394,20531.13296
C27H48O6N8,CHON,580.3696633,27,48,6,8,0,0,0.22,1.78,0.30,0.00,0.00,1120904.682,1754185.437,937137.2948,1396673.518,2935084.267,1686.84089
C20H37O8N9S,CHONS,563.2485833,20,37,8,9,0,1,0.40,1.85,0.45,0.00,0.00,743070.3373,2662262.315,2615211.211,6306748.377,8071957.048,2630170.532
C11H22O4N6,CHON,302.1702533,11,22,4,6,0,0,0.36,2.00,0.55,0.00,0.00,141708.1307,521644.836,613036.9479,395491.5425,447378.7252,553924.6409
C56H102O6,CHO,870.7676,56,102,6,0,0,0,0.11,1.82,0.00,0.00,0.00,4471934.827,6242308.249,3188114.894,1142610.271,12107467.33,19305770.15
C18H28O3,CHO,292.2038,18,28,3,0,0,0,0.17,1.56,0.00,0.00,0.00,691866.7183,1157609.962,1023744.46,3236218.406,1150494.656,679564.5297
C25H48O8N8S,CHONS,620.3315833,25,48,8,8,0,1,0.32,1.92,0.32,0.00,0.00,171367.1234,18175.32935,154227.9115,234583.8616,639240.1387,8093.013572
C11H16O2,CHO,180.115,11,16,2,0,0,0,0.18,1.45,0.00,0.00,0.00,7496577.898,6489605.787,10380258.37,2446525.464,4139412.207,1782665.494
C23H32O8N6,CHON,520.2281533,23,32,8,6,0,0,0.35,1.39,0.26,0.00,0.00,1604128.221,6488499.998,,,,
C22H32O10N7P,CHONP,555.2288733,22,32,10,7,1,0,0.45,1.45,0.32,0.05,7.00,1182330.603,1167754.793,3450689.287,208815.9877,698822.1001,760948.2063
C21H37O6N9S,CHONS,543.2587533,21,37,6,9,0,1,0.29,1.76,0.43,0.00,0.00,546384.9156,204642.2042,1061284.33,743250.6211,1118667.31,617221.749
C19H37O7P,CHOP,408.2277,19,37,7,0,1,0,0.37,1.95,0.00,0.05,0.00,1108014.31,290178.762,1108014.31,63848.33282,40938.49893,78751.49959
C21H34O9N6S2,CHONS,578.1828733,21,34,9,6,0,2,0.43,1.62,0.29,0.00,0.00,284690.7745,972551.2454,636372.5333,4614776.628,4511981.375,1649676.577
C17H28O9N4S,CHONS,464.1576933,17,28,9,4,0,1,0.53,1.65,0.24,0.00,0.00,9940858.23,15179554.12,19843227.85,19349195.32,21824695.67,23926250.03
C6H14O8NP,CHONP,259.04572,6,14,8,1,1,0,1.33,2.33,0.17,0.17,1.00,1511408.114,7807873.038,6279627.852,1509268.152,4376422.997,3907023.026
C21H31O10N9,CHON,569.2193733,21,31,10,9,0,0,0.48,1.48,0.43,0.00,0.00,90268.89164,53830.77742,34281.59246,112210.1959,18971.22865,81926.83441
C21H35O10N9,CHON,573.2506933,21,35,10,9,0,0,0.48,1.67,0.43,0.00,0.00,2113938.975,4590592.803,1135786.652,5663291.609,7229829.174,2101366.02
C24H37O6N9S,CHONS,579.2587433,24,37,6,9,0,1,0.25,1.54,0.38,0.00,0.00,942091.8814,321592.3009,723120.51,464503.0125,5086757.886,3630079.736
C10H20O4N6,CHON,288.1545933,10,20,4,6,0,0,0.40,2.00,0.60,0.00,0.00,20637.41493,129486.4373,288517.2045,4548.651135,61131.23814,5769.031797
C11H6O4,CHO,202.02661,11,6,4,0,0,0,0.36,0.55,0.00,0.00,0.00,17415657.15,27827614.19,28180653.62,29913142.07,26847219.48,32574241.7
C6H11O2NS,CHONS,161.051051,6,11,2,1,0,1,0.33,1.83,0.17,0.00,0.00,921190.8195,416527.9653,814570.8877,439947.847,643484.5537,
C23H28O5N8,CHON,496.2182533,23,28,5,8,0,0,0.22,1.22,0.35,0.00,0.00,83179.79849,380813.4637,919976.6633,1444886.524,1471150.736,1879750.77
C15H28O2,CHO,240.2089,15,28,2,0,0,0,0.13,1.87,0.00,0.00,0.00,99324.85502,103351.9625,151090.9699,125506.6777,230971.7045,2231.967962
C7H11O2,CHO,205.9942,7,11,2,0,0,0,0.29,1.57,0.00,0.00,0.00,1847101.311,1150082.518,717955.3749,105870.9042,62788.23567,121923.8413
C26H28O16,CHO,596.1377,26,28,16,0,0,0,0.62,1.08,0.00,0.00,0.00,1979332.426,4213859.665,869294.0764,1474340.362,1871605.044,2901141.493
C12H22O5,CHO,246.1467,12,22,5,0,0,0,0.42,1.83,0.00,0.00,0.00,1069095.453,4728126.618,1633367.674,1376928.303,1282715.649,7047.671525
C12H17O3N,CHON,223.1208,12,17,3,1,0,0,0.25,1.42,0.08,0.00,0.00,221716.4746,879855.5266,380501.7709,1114197.607,527919.8165,39300.17546
C28H38O3,CHO,422.2821,28,38,3,0,0,0,0.11,1.36,0.00,0.00,0.00,4569465.589,4252485.539,4559522.882,6937791.359,6586511.624,4209528.873
C16H25O10N5S,CHONS,479.1322133,16,25,10,5,0,1,0.63,1.56,0.31,0.00,0.00,5796810.358,5434063.139,1660289.221,9221493.683,10259825.1,703611.1247
C34H64O4,CHO,536.4805,34,64,4,0,0,0,0.12,1.88,0.00,0.00,0.00,952852.6891,281759.9772,174572.7204,231049.2052,843870.4088,779641.3192
C24H38O8N6,CHON,538.2751033,24,38,8,6,0,0,0.33,1.58,0.25,0.00,0.00,5519702.558,5636045.356,7408320.312,13453230.83,16948553.46,7524958.122
C13H17O4N2P,CHONP,266.1266533,13,17,4,2,1,0,0.31,1.31,0.15,0.08,2.00,1090335.914,1441573.389,590077.3832,1127385.745,1303000.269,1001114.786
C23H45O5N10PS,CHONPS,574.3373333,23,45,5,10,1,1,0.22,1.96,0.43,0.04,10.00,5890788.279,7643491.09,3290460.307,4191980.223,2896387.53,1817327.871
C22H30O4,CHO,358.2144,22,30,4,0,0,0,0.18,1.36,0.00,0.00,0.00,652200.0124,741879.2863,924156.8612,1248708.957,845573.435,282859.6649
C30H47O6N5,CHON,573.3526133,30,47,6,5,0,0,0.20,1.57,0.17,0.00,0.00,434347.0499,2281381.727,2281381.727,8623855.703,610726.5415,2285026.493
C25H43O9N5,CHON,557.3060633,25,43,9,5,0,0,0.36,1.72,0.20,0.00,0.00,215378.5743,9755.626063,115334.2613,1407849.018,1729828.887,51472.8396
C10H14O,CHO,150.1045,10,14,1,0,0,0,0.10,1.40,0.00,0.00,0.00,807522.0812,1507308.702,1202077.925,2670871.972,2941702.312,
C9H19O3N5,CHON,245.1487833,9,19,3,5,0,0,0.33,2.11,0.56,0.00,0.00,348010.4012,447205.4647,83086.29644,4453.235538,1930.976551,7786.023917
C26H33O9N5,CHON,559.2278333,26,33,9,5,0,0,0.35,1.27,0.19,0.00,0.00,70722.97574,164813.2533,164813.2533,26476.23433,24986.44825,8295.7173
C20H34O7N4S2,CHONS,506.1868933,20,34,7,4,0,2,0.35,1.70,0.20,0.00,0.00,8363356.958,8892497.151,8356186.086,9231291.034,7512552.203,950200.4616
C17H24O10N6,CHON,472.1553833,17,24,10,6,0,0,0.59,1.41,0.35,0.00,0.00,145580.2753,170068.8776,260763.7959,64132.3068,35314.63498,16030.71643
C26H41O7N7,CHON,563.3067333,26,41,7,7,0,0,0.27,1.58,0.27,0.00,0.00,176882.8507,107262.2147,45445.31741,136638.7781,336806.3973,35852.22473
C26H45O10N5,CHON,587.3166233,26,45,10,5,0,0,0.38,1.73,0.19,0.00,0.00,4381686.837,8733895.37,4475969.249,2236147.198,5865517.352,13726.88325
C37H72O8NP,CHONP,689.4996,37,72,8,1,1,0,0.22,1.95,0.03,0.03,1.00,994406.9566,622825.5922,361023.3296,201393.8271,177131.8314,1067.910768
C20H18O5,CHO,338.115425,20,18,5,0,0,0,0.25,0.90,0.00,0.00,0.00,3513302.992,7267072.162,3657711.395,5054234.273,4169167.409,1641514.476
C5H12O2N2,CHON,132.0899,5,12,2,2,0,0,0.40,2.40,0.40,0.00,0.00,23352.8167,35425.32307,61340.60244,541767.354,2828934.7,128399.0259
C19H33O7N5S,CHONS,475.2100733,19,33,7,5,0,1,0.37,1.74,0.26,0.00,0.00,398221.5731,112685.0586,216728.4342,511109.2878,892977.5144,726803.4184
C35H62O6,CHO,578.4546,35,62,6,0,0,0,0.17,1.77,0.00,0.00,0.00,7625726.628,8243870.422,3726484.194,4811456.602,1171161.014,4015590.768
C9H8O3,CHO,164.0473,9,8,3,0,0,0,0.33,0.89,0.00,0.00,0.00,670821.106,762883.9867,362607.8676,24500.01218,29169.54181,52674.32769
C21H40O6N11PS3,CHONPS,639.2403533,21,40,6,11,1,3,0.29,1.90,0.52,0.05,11.00,22376170.64,19074953.39,25069372.99,6328563.276,16896915.12,26288014.61
C20H33O10N5,CHON,503.2227333,20,33,10,5,0,0,0.50,1.65,0.25,0.00,0.00,10073397.53,22991669.58,28785648.92,6072558.872,14244777.99,3721660.037
C18H29O6N7S2,CHONS,503.1620833,18,29,6,7,0,2,0.33,1.61,0.39,0.00,0.00,3715384.768,210327.7643,111836.5706,27994.28541,38389.02566,148434.8723
C40H72O9N8,CHON,808.5421933,40,72,9,8,0,0,0.23,1.80,0.20,0.00,0.00,586452.4454,472712.3616,1279455.237,112354.6649,56563.3952,94895.89215
C16H28O7,CHO,332.1835,16,28,7,0,0,0,0.44,1.75,0.00,0.00,0.00,4389143.089,2587869.003,3255359.563,2211378.189,1897865.504,2519657.734
C25H26O7,CHO,438.1679,25,26,7,0,0,0,0.28,1.04,0.00,0.00,0.00,676266.0616,1630956.292,693392.2368,366724.3959,340125.234,695635.5668
C35H63O5,CHO,573.5376,35,63,5,0,0,0,0.14,1.80,0.00,0.00,0.00,1430513.11,5067728.144,3688987.562,4077310.926,1371327.648,3140876.69
C23H43O3NS,CHONS,413.2964,23,43,3,1,0,1,0.13,1.87,0.04,0.00,0.00,134021.5466,71054.14131,161817.4094,88823.04447,544322.1647,168671.4099
C24H34O5N4S,CHONS,490.2249833,24,34,5,4,0,1,0.21,1.42,0.17,0.00,0.00,660915.6532,508395.5745,645382.1134,2637700.27,3418456.671,359839.4486
C20H32O9N6S2,CHONS,564.1672133,20,32,9,6,0,2,0.45,1.60,0.30,0.00,0.00,10284958.13,7739336.506,11442911.68,2389886.107,5953198.748,5584570.499
C43H68O5,CHO,664.5067,43,68,5,0,0,0,0.12,1.58,0.00,0.00,0.00,4711.208641,14168.2868,23537.50609,25133.65984,25531.51432,
C10H12O6N5P,CHONP,329.052523,10,12,6,5,1,0,0.60,1.20,0.50,0.10,5.00,119841.1605,93316.84851,129555.6698,382695.3918,577434.2633,587057.2306
C4H7O2,CHO,165.9629,4,7,2,0,0,0,0.50,1.75,0.00,0.00,0.00,1471494.581,1099413.851,268095.2177,45039.91102,14712.44045,30969.13139
C23H41O9N5S2,CHONS,595.2345733,23,41,9,5,0,2,0.39,1.78,0.22,0.00,0.00,39780.2443,224746.085,278312.7745,548457.2825,981097.3942,675138.4837
C20H36O8N8S,CHONS,548.2376833,20,36,8,8,0,1,0.40,1.80,0.40,0.00,0.00,1873903.497,429677.3004,2505385.868,284623.2596,919375.747,1315157.775
C24H28O13,CHO,524.153,24,28,13,0,0,0,0.54,1.17,0.00,0.00,0.00,465041.8543,182920.9482,485127.7628,624690.1109,213586.1222,227821.0865
C20H33O9N5S,CHONS,519.1998933,20,33,9,5,0,1,0.45,1.65,0.25,0.00,0.00,3834.065208,38508.71831,45168.75747,150613.2826,354682.961,
C21H28O7N6,CHON,476.2019433,21,28,7,6,0,0,0.33,1.33,0.29,0.00,0.00,1268427.995,1072398.891,1103551.365,1029496.443,493490.3931,341657.1504
C16H13O6,CHO,301.0712,16,13,6,0,0,0,0.38,0.81,0.00,0.00,0.00,88607.19806,1135676.391,498985.3072,210507.5895,1066404.153,38690.49773
C24H36O8N6S,CHONS,568.2315233,24,36,8,6,0,1,0.33,1.50,0.25,0.00,0.00,127390.6301,158377.6726,174780.3678,293252.9736,132954.3726,206310.675
C16H12O3,CHO,252.0786,16,12,3,0,0,0,0.19,0.75,0.00,0.00,0.00,1466027.532,704841.4075,1150129.074,534098.1642,1403319.671,251219.6109
C26H28O13,CHO,548.153,26,28,13,0,0,0,0.50,1.08,0.00,0.00,0.00,2948260.418,1729891.83,393265.7964,2961021.821,1894790.243,271399.993
C21H37O7N7S,CHONS,531.2475133,21,37,7,7,0,1,0.33,1.76,0.33,0.00,0.00,884108.6858,1291027.252,2375282.24,1339000.415,1680971.67,1653641.295
C7H14O7,CHO,210.073955,7,14,7,0,0,0,1.00,2.00,0.00,0.00,0.00,65704634.01,113079182,92074567.68,122760549,120687857.4,108280552.8
C24H36O5N8,CHON,516.2808533,24,36,5,8,0,0,0.21,1.50,0.33,0.00,0.00,7249.573635,218534.8131,275625.6563,46926.84,165032.2575,152392.6829
C18H30O6N4S,CHONS,430.1886033,18,30,6,4,0,1,0.33,1.67,0.22,0.00,0.00,1410250.97,922946.9539,762122.9093,888900.2675,639788.9356,986131.1247
C20H26O5N6S,CHONS,462.1685333,20,26,5,6,0,1,0.25,1.30,0.30,0.00,0.00,12481910.17,12078448.26,14650709.52,4486211.332,8548343.682,7624371.278
C16H26O9N4S,CHONS,450.1420433,16,26,9,4,0,1,0.56,1.63,0.25,0.00,0.00,5491124.206,3162164.629,2430023.207,1733190.74,724591.2016,1934742.766
C27H41O5N5S,CHONS,547.2828333,27,41,5,5,0,1,0.19,1.52,0.19,0.00,0.00,244578.9269,137486.8575,8926.733922,313061.3721,465530.0093,41096.42372
C10H21O4N5,CHON,275.1593533,10,21,4,5,0,0,0.40,2.10,0.50,0.00,0.00,17307.68192,43757.80573,4870.14482,64539.32045,111043.9328,9539.026117
C24H35O8N4PS2,CHONPS,572.1974633,24,35,8,4,1,2,0.33,1.46,0.17,0.04,4.00,150580.0512,95998.71778,664509.4786,322473.7807,362796.7642,4115.997354
C34H64O2,CHO,504.4906,34,64,2,0,0,0,0.06,1.88,0.00,0.00,0.00,888491.6871,1579380.951,1317594.733,999930.8137,1050629.742,1221675.638
C24H44O6N6S2,CHONS,576.2763733,24,44,6,6,0,2,0.25,1.83,0.25,0.00,0.00,1091469.757,775469.0947,122357.5325,30200.94363,9399.520566,18213.7745
C17H14O9S,CHOS,394.0359,17,14,9,0,0,1,0.53,0.82,0.00,0.00,0.00,605178.0425,369833.9143,1029295.197,188553.1635,693895.4185,541244.7644
C26H33O6N9,CHON,567.2553733,26,33,6,9,0,0,0.23,1.27,0.35,0.00,0.00,280887.988,202988.2811,136874.1226,399432.5496,359846.6344,134047.257
C27H41O2,CHO,411.4087,27,41,2,0,0,0,0.07,1.52,0.00,0.00,0.00,134021.5466,71054.14131,172111.9567,88823.04447,585534.7153,168671.4099
C6H3O4,CHO,243.9097,6,3,4,0,0,0,0.67,0.50,0.00,0.00,0.00,576699.7179,178899.2911,476627.7168,780055.7536,1231578.082,
C10H16O4,CHO,200.1049,10,16,4,0,0,0,0.40,1.60,0.00,0.00,0.00,24565448.86,31638246.16,25537583.56,42324244.38,53119748.91,34657639.31
C19H30O13N6,CHON,550.1870833,19,30,13,6,0,0,0.68,1.58,0.32,0.00,0.00,1630368.093,1944104.704,1504295.24,6380771.195,7368295.416,5430285.059
C10H16O2,CHO,168.115,10,16,2,0,0,0,0.20,1.60,0.00,0.00,0.00,636429.1666,1365388.437,846805.4144,1202770.592,2907761.292,908101.824
C18H22O2,CHO,270.162,18,22,2,0,0,0,0.11,1.22,0.00,0.00,0.00,576095.4534,1611973.789,1713381.414,1138130.323,952705.9916,138697.674
C10H14O8N5P,CHONP,363.058003,10,14,8,5,1,0,0.80,1.40,0.50,0.10,5.00,1922757.069,3473148.91,2047657.858,798931.0019,2881925.739,176939.3017
C6H11O4N,CHON,161.0688,6,11,4,1,0,0,0.67,1.83,0.17,0.00,0.00,636252.6517,788681.9131,566789.8785,488607.1823,794470.2238,684740.4863
C18H16O4,CHO,296.1049,18,16,4,0,0,0,0.22,0.89,0.00,0.00,0.00,524985.3447,517378.856,156666.6458,743126.688,412835.0114,10397.47576
C20H31O11N6PS,CHONPS,564.1849733,20,31,11,6,1,1,0.55,1.55,0.30,0.05,6.00,981157.7666,2608862.391,2508262.401,1401210.145,1335249.959,2834892.063
C64H108O6,CHO,972.8146,64,108,6,0,0,0,0.09,1.69,0.00,0.00,0.00,4792046.269,18553346.84,13591628.41,7391403.952,4773877.436,8016639.63
C10H19O6P,CHOP,266.0919,10,19,6,0,1,0,0.60,1.90,0.00,0.10,0.00,11261.3397,8836.917065,,,,
C21H27O7N5S2,CHONS,525.1351933,21,27,7,5,0,2,0.33,1.29,0.24,0.00,0.00,2815991.235,2952694.954,1501506.585,723674.2322,471471.4634,3271.665775
C23H28O5N4,CHON,440.2059533,23,28,5,4,0,0,0.22,1.22,0.17,0.00,0.00,1314777.426,371029.6352,782409.3763,1690547.666,1116126.65,233397.8555
C22H42O4,CHO,370.3083,22,42,4,0,0,0,0.18,1.91,0.00,0.00,0.00,331325.0071,1811121.291,515503.8446,1259179.859,1155879.419,
C25H37O5N7,CHON,515.2856033,25,37,5,7,0,0,0.20,1.48,0.28,0.00,0.00,154561.3584,135059.5505,154561.3584,340252.9256,509107.2893,42971.7403
C15H30O4,CHO,274.2144,15,30,4,0,0,0,0.27,2.00,0.00,0.00,0.00,867860.2643,974256.1105,745544.8211,404169.1533,407798.1469,390826.4676
C24H40O5N10S,CHONS,580.2903833,24,40,5,10,0,1,0.21,1.67,0.42,0.00,0.00,479731.8558,792253.1894,966559.6097,2183744.126,2334876.605,
C23H36O6N12,CHON,576.2880633,23,36,6,12,0,0,0.26,1.57,0.52,0.00,0.00,9768480.755,451381.5191,20911193.43,4350314.081,5163514.435,6717340.174
C24H50O2,CHO,370.3811,24,50,2,0,0,0,0.08,2.08,0.00,0.00,0.00,301800.4904,496467.4187,4417.513582,402376.1887,679364.1694,10489.58592
C26H40O8N6S,CHONS,596.2628333,26,40,8,6,0,1,0.31,1.54,0.23,0.00,0.00,8449060.352,487589.3925,9116245.97,1256769.386,2213138.416,236614.7775
C27H41O6N5S,CHONS,563.2777433,27,41,6,5,0,1,0.22,1.52,0.19,0.00,0.00,10841523.87,24875069.01,13241444.42,42780801.69,50504977.93,2554720.588
C19H27O6N9,CHON,477.2084233,19,27,6,9,0,0,0.32,1.42,0.47,0.00,0.00,4891477.027,1379500.348,5542548.818,278251.12,41395.59229,356202.1492
C26H52O7,CHO,476.3713,26,52,7,0,0,0,0.27,2.00,0.00,0.00,0.00,683507.1352,1450618.15,1712588.936,2464954.771,4385373.61,7169064.237
C22H37O7N9S,CHONS,571.2536633,22,37,7,9,0,1,0.32,1.68,0.41,0.00,0.00,498718.269,5488598.568,4033623.949,4401021.657,3802695.182,1501194.275
